a	'a
afofam	,&f'Of&U~
afofarei	,&fuf&*'eI
afofei	,&fuf'eI
afofai	,&fuf'aI
afofaste	,&fuf'as#ty
afofasse	,&fuf'asy
afofe	,&f'Ofy
afofava	,&fuf'av&
afofaria	,&fuf&*'i;&
afofada	,&fuf'ad&
afofara	,&fuf'a*&
afofa	,&f'Of&
afogadela	,&fug&d'El&
afogadelas	,&fug&d'el&s#
afogadiço	,&fug&d'isU
afogar	,&fug'ar-
afogará	,&fug&*'a
afogá	,&fug'a
afogou	,&fug'ow
afogarás	,&fug&*'as#
afogamentos	,&fug&m'eINtUs#
afogámos	,&fug'amUs#
afoguemos	,&fug'emUs#
afogássemos	,&fug'asymUs#
afogaremos	,&fug&*'emUs#
afogaríamos	,&fug&*'i;&~mUs#
afogávamos	,&fug'av&mUs#
afogáramos	,&fug'a*&mUs#
afogarmos	,&fug'a*@-mUs#
afogamos	,&fug'&~mUs#
afogados	,&fug'adUs#
afogaríeis	,&fug&*'i;eIs#
afogáveis	,&fug'aveIs#
afogueis	,&fug'eIs#
afogásseis	,&fug'aseIs#
afogáreis	,&fug'a*eIs#
afogareis	,&fug&*'eIs#
afogais	,&fug'aIs#
afogues	,&f'ogys#
afogastes	,&fug'as#tys#
afogasses	,&fug'asys#
afogadores	,&fug&d'o*ys#
afogardes	,&fug'a*@-dys#
afogares	,&fug'a*ys#
afogavas	,&fug'av&s#
afogadoras	,&fug&d'o*&s#
afogarias	,&fug&*'i;&s#
afogadas	,&fug'ad&s#
afogaras	,&fug'a*&s#
afogas	,&f'og&s#
afogador	,&fug&d'or-
afogarão	,&fug&*'&U~
afogamento	,&fug&m'eINtU
afogando	,&fug'&~NdU
afogado	,&fug'adU
afogo	,&f'OgU
afoguem	,&f'OgeIN
afogassem	,&fug'aseIN
afogarem	,&fug'a*eIN
afogavam	,&fug'av&U~
afogariam	,&fug&*'i;&U~
afogaram	,&fug'a*&U~
afogam	,&f'Og&U~
afoguei	,&fug'eI
afogarei	,&fug&*'eI
afogai	,&fug'aI
afogue	,&f'Ogy
afogaste	,&fug'as#ty
afogasse	,&fug'asy
afogava	,&fug'av&
afogadora	,&fug&d'o*&
afogaria	,&fug&*'i;&
afogada	,&fug'ad&
afogara	,&fug'a*&
afoga	,&f'Og&
afogo	,&f'OgU
afoguear	,&fugy'ar-
afogueá	,&fugy'a
afogueará	,&fug,e&*'a
afogueou	,&fugy'ow
afoguearás	,&fug,e&*'as#
afogueámos	,&fugy'amUs#
afogueássemos	,&fugy'asymUs#
afogueemos	,&fugi;'emUs#
afoguearemos	,&fug,e&*'emUs#
afoguearíamos	,&fug,e&*'i;&~mUs#
afogueávamos	,&fugy'av&mUs#
afogueáramos	,&fugy'a*&mUs#
afogueamos	,&fugy'&~mUs#
afoguearmos	,&fugy'a*@-mUs#
afogueados	,&fugy'adUs#
afoguearíeis	,&fug,e&*'i;eIs#
afogueáveis	,&fugy'aveIs#
afogueásseis	,&fugy'aseIs#
afogueáreis	,&fugy'a*eIs#
afogueeis	,&fugi;'eIs#
afogueareis	,&fug,e&*'eIs#
afogueais	,&fugy'aIs#
afogueastes	,&fugy'as#tys#
afogueasses	,&fugy'asys#
afogueies	,&fug'eI;ys#
afogueardes	,&fugy'a*@-dys#
afogueares	,&fugy'a*ys#
afogueavas	,&fugy'av&s#
afogueias	,&fug'eI;&s#
afoguearias	,&fug,e&*'i;&s#
afogueadas	,&fugy'ad&s#
afoguearas	,&fugy'a*&s#
afoguearão	,&fug,e&*'&U~
afogueio	,&fug'eI;U
afogueando	,&fugy'&~NdU
afogueado	,&fugy'adU
afogueassem	,&fugy'aseIN
afogueiem	,&fug'eI;eIN
afoguearem	,&fugy'a*eIN
afogueavam	,&fugy'av&U~
afogueiam	,&fug'eI;&U~
afogueariam	,&fug,e&*'i;&U~
afoguearam	,&fugy'a*&U~
afoguearei	,&fug,e&*'eI
afogueei	,&fugi;'eI
afogueai	,&fugy'aI
afogueaste	,&fugy'as#ty
afogueasse	,&fugy'asy
afogueie	,&fug'eI;y
afogueava	,&fugy'av&
afogueia	,&fug'eI;&
afoguearia	,&fug,e&*'i;&
afogueada	,&fugy'ad&
afogueara	,&fugy'a*&
afoitar	,&foIt'ar-
afoitará	,&foIt&*'a
afoitá	,&foIt'a
afoitou	,&foIt'ow
afoitarás	,&foIt&*'as#
afoitámos	,&foIt'amUs#
afoitássemos	,&foIt'asymUs#
afoitaremos	,&foIt&*'emUs#
afoitemos	,&foIt'emUs#
afoitaríamos	,&foIt&*'i;&~mUs#
afoitávamos	,&foIt'av&mUs#
afoitáramos	,&foIt'a*&mUs#
afoitarmos	,&foIt'a*@-mUs#
afoitamos	,&foIt'&~mUs#
afoitados	,&foIt'adUs#
afoitaríeis	,&foIt&*'i;eIs#
afoitáveis	,&foIt'aveIs#
afoitásseis	,&foIt'aseIs#
afoitáreis	,&foIt'a*eIs#
afoitareis	,&foIt&*'eIs#
afoiteis	,&foIt'eIs#
afoitais	,&foIt'aIs#
afoitastes	,&foIt'as#tys#
afoitasses	,&foIt'asys#
afoitardes	,&foIt'a*@-dys#
afoitares	,&foIt'a*ys#
afoites	,&f'oItys#
afoitavas	,&foIt'av&s#
afoitarias	,&foIt&*'i;&s#
afoitadas	,&foIt'ad&s#
afoitaras	,&foIt'a*&s#
afoitas	,&f'oIt&s#
afoitarão	,&foIt&*'&U~
afoitando	,&foIt'&~NdU
afoitado	,&foIt'adU
afoito	,&f'oItU
afoitassem	,&foIt'aseIN
afoitarem	,&foIt'a*eIN
afoitem	,&f'oIteIN
afoitavam	,&foIt'av&U~
afoitariam	,&foIt&*'i;&U~
afoitaram	,&foIt'a*&U~
afoitam	,&f'oIt&U~
afoitarei	,&foIt&*'eI
afoitei	,&foIt'eI
afoitai	,&foIt'aI
afoitaste	,&foIt'as#ty
afoitasse	,&foIt'asy
afoite	,&f'oIty
afoitava	,&foIt'av&
afoitaria	,&foIt&*'i;&
afoitada	,&foIt'ad&
afoitara	,&foIt'a*&
afoita	,&f'oIt&
afoiteza	,&foIt'ez&
afoito	,&f'oItU
afoitas	,&f'oIt&s#
afoitos	,&f'oItUs#
afoita	,&f'oIt&
afolar	,&ful'ar-
afolará	,&ful&*'a
afolá	,&ful'a
afolou	,&ful'ow
afolarás	,&ful&*'as#
afolámos	,&ful'amUs#
afolássemos	,&ful'asymUs#
afolaremos	,&ful&*'emUs#
afolemos	,&ful'emUs#
afolaríamos	,&ful&*'i;&~mUs#
afolávamos	,&ful'av&mUs#
afoláramos	,&ful'a*&mUs#
afolarmos	,&ful'a*@-mUs#
afolamos	,&ful'&~mUs#
afolados	,&ful'adUs#
afolaríeis	,&ful&*'i;eIs#
afoláveis	,&ful'aveIs#
afolásseis	,&ful'aseIs#
afoláreis	,&ful'a*eIs#
afolareis	,&ful&*'eIs#
afoleis	,&ful'eIs#
afolais	,&ful'aIs#
afolastes	,&ful'as#tys#
afolasses	,&ful'asys#
afolardes	,&ful'a*@-dys#
afolares	,&ful'a*ys#
afoles	,&f'olys#
afolavas	,&ful'av&s#
afolarias	,&ful&*'i;&s#
afoladas	,&ful'ad&s#
afolaras	,&ful'a*&s#
afolas	,&f'ol&s#
afolarão	,&ful&*'&U~
afolando	,&ful'&~NdU
afolado	,&ful'adU
afolo	,&f'OlU
afolassem	,&ful'aseIN
afolarem	,&ful'a*eIN
afolem	,&f'OleIN
afolavam	,&ful'av&U~
afolariam	,&ful&*'i;&U~
afolaram	,&ful'a*&U~
afolam	,&f'Ol&U~
afolarei	,&ful&*'eI
afolei	,&ful'eI
afolai	,&ful'aI
afolaste	,&ful'as#ty
afolasse	,&ful'asy
afole	,&f'Oly
afolava	,&ful'av&
afolaria	,&ful&*'i;&
afolada	,&ful'ad&
afolara	,&ful'a*&
afola	,&f'Ol&
afolhar	,&ful^'ar-
afolhará	,&ful^&*'a
afolhá	,&ful^'a
afolhou	,&ful^'ow
afolharás	,&ful^&*'as#
afolhamentos	,&ful^&m'eINtUs#
afolhámos	,&ful^'amUs#
afolhássemos	,&ful^'asymUs#
afolharemos	,&ful^&*'emUs#
afolhemos	,&ful^'emUs#
afolharíamos	,&ful^&*'i;&~mUs#
afolhávamos	,&ful^'av&mUs#
afolháramos	,&ful^'a*&mUs#
afolharmos	,&ful^'a*@-mUs#
afolhamos	,&ful^'&~mUs#
afolhados	,&ful^'adUs#
afolharíeis	,&ful^&*'i;eIs#
afolháveis	,&ful^'aveIs#
afolhásseis	,&ful^'aseIs#
afolháreis	,&ful^'a*eIs#
afolhareis	,&ful^&*'eIs#
afolheis	,&ful^'eIs#
afolhais	,&ful^'aIs#
afolhastes	,&ful^'as#tys#
afolhasses	,&ful^'asys#
afolhardes	,&ful^'a*@-dys#
afolhares	,&ful^'a*ys#
afolhes	,&f'ol^ys#
afolhavas	,&ful^'av&s#
afolharias	,&ful^&*'i;&s#
afolhadas	,&ful^'ad&s#
afolharas	,&ful^'a*&s#
afolhas	,&f'ol^&s#
afolharão	,&ful^&*'&U~
afolhamento	,&ful^&m'eINtU
afolhando	,&ful^'&~NdU
afolhado	,&ful^'adU
afolho	,&f'ol^U
afolhassem	,&ful^'aseIN
afolharem	,&ful^'a*eIN
afolhem	,&f'Ol^eIN
afolhavam	,&ful^'av&U~
afolhariam	,&ful^&*'i;&U~
afolharam	,&ful^'a*&U~
afolham	,&f'ol^&U~
afolharei	,&ful^&*'eI
afolhei	,&ful^'eI
afolhai	,&ful^'aI
afolhaste	,&ful^'as#ty
afolhasse	,&ful^'asy
afolhe	,&f'Ol^y
afolhava	,&ful^'av&
afolharia	,&ful^&*'i;&
afolhada	,&ful^'ad&
afolhara	,&ful^'a*&
afolha	,&f'ol^&
afonia	,&fun'i;&
afonias	,&fun'i;&s#
afónico	,&f'OnikU
afónicas	,&f'Onik&s#
afónicos	,&f'OnikUs#
afónica	,&f'Onik&
afono	,&f'onU
afonsino	,&fuNs'inU
afonsinos	,&fuNs'inUs#
Afonso	,&f'oNsU
afora	,&f'O*&
aforar	,&fu*'ar-
aforará	,&fu*&*'a
aforá	,&fu*'a
aforou	,&fu*'ow
aforarás	,&fu*&*'as#
aforamentos	,&fu*&m'eINtUs#
aforámos	,&fu*'amUs#
aforássemos	,&fu*'asymUs#
aforaremos	,&fu*&*'emUs#
aforemos	,&fu*'emUs#
aforaríamos	,&fu*&*'i;&~mUs#
aforávamos	,&fu*'av&mUs#
aforáramos	,&fu*'a*&mUs#
aforarmos	,&fu*'a*@-mUs#
aforamos	,&fu*'&~mUs#
aforados	,&fu*'adUs#
aforaríeis	,&fu*&*'i;eIs#
aforáveis	,&fu*'aveIs#
aforásseis	,&fu*'aseIs#
aforáreis	,&fu*'a*eIs#
aforareis	,&fu*&*'eIs#
aforeis	,&fu*'eIs#
aforais	,&fu*'aIs#
aforações	,&fu*&s'o~js#
aforastes	,&fu*'as#tys#
aforasses	,&fu*'asys#
aforadores	,&fu*&d'o*ys#
aforardes	,&fu*'a*@-dys#
aforares	,&fu*'a*ys#
afores	,&f'o*ys#
aforavas	,&fu*'av&s#
aforadoras	,&fu*&d'o*&s#
aforarias	,&fu*&*'i;&s#
aforadas	,&fu*'ad&s#
aforaras	,&fu*'a*&s#
aforas	,&f'o*&s#
aforador	,&fu*&d'or-
aforação	,&fu*&s'&U~
aforarão	,&fu*&*'&U~
aforamento	,&fu*&m'eINtU
aforando	,&fu*'&~NdU
aforado	,&fu*'adU
aforo	,&f'O*U
aforassem	,&fu*'aseIN
aforarem	,&fu*'a*eIN
aforem	,&f'O*eIN
aforavam	,&fu*'av&U~
aforariam	,&fu*&*'i;&U~
aforaram	,&fu*'a*&U~
aforam	,&f'O*&U~
aforarei	,&fu*&*'eI
aforei	,&fu*'eI
aforai	,&fu*'aI
aforaste	,&fu*'as#ty
aforasse	,&fu*'asy
afore	,&f'O*y
aforava	,&fu*'av&
aforadora	,&fu*&d'o*&
aforaria	,&fu*&*'i;&
aforada	,&fu*'ad&
aforara	,&fu*'a*&
afora	,&f'O*&
aforismo	,&fu*'iZmU
aforismos	,&fu*'iZmUs#
aforístico	,&fu*'is#tikU
aforísticas	,&fu*'is#tik&s#
aforística	,&fu*'is#tik&
aformosear	,&fu*@-m,uzi;'ar-
aformoseá	,&fu*@-m,uzy'a
aformoseará	,&fu*@-m,uzi;&*'a
aformoseou	,&fu*@-muz'i;uw
aformosearás	,&fu*@-m,uzi;&*'as#
aformoseámos	,&fu*@-m,uzy'amUs#
aformoseássemos	,&fu*@-m,uzy'asymUs#
aformoseemos	,&fu*@-m,uzi;'emUs#
aformosearemos	,&fu*@-m,uzi;&*'emUs#
aformosearíamos	,&fu*@-m,uzi;&*'i;&~mUs#
aformoseávamos	,&fu*@-m,uzy'av&mUs#
aformoseáramos	,&fu*@-m,uzy'a*&mUs#
aformoseamos	,&fu*@-m,uzi;'&~mUs#
aformosearmos	,&fu*@-m,uzi;'a*@-mUs#
aformoseados	,&fu*@-m,uzi;'adUs#
aformosearíeis	,&fu*@-m,uzi;&*'i;eIs#
aformoseáveis	,&fu*@-m,uzy'aveIs#
aformoseásseis	,&fu*@-m,uzy'aseIs#
aformoseáreis	,&fu*@-m,uzy'a*eIs#
aformoseeis	,&fu*@-m,uzi;'eIs#
aformoseareis	,&fu*@-m,uzi;&*'eIs#
aformoseais	,&fu*@-m,uzi;'aIs#
aformoseastes	,&fu*@-m,uzi;'as#tys#
aformoseasses	,&fu*@-m,uzi;'asys#
aformoseies	,&fu*@-muz'eI;ys#
aformoseardes	,&fu*@-m,uzi;'a*@-dys#
aformoseares	,&fu*@-m,uzi;'a*ys#
aformoseavas	,&fu*@-m,uzi;'av&s#
aformoseias	,&fu*@-muz'eI;&s#
aformosearias	,&fu*@-m,uzi;&*'i;&s#
aformoseadas	,&fu*@-m,uzi;'ad&s#
aformosearas	,&fu*@-m,uzi;'a*&s#
aformosearão	,&fu*@-m,uzi;&*'&U~
aformoseio	,&fu*@-muz'eI;U
aformoseando	,&fu*@-m,uzi;'&~NdU
aformoseado	,&fu*@-m,uzi;'adU
aformoseassem	,&fu*@-m,uzi;'aseIN
aformoseiem	,&fu*@-muz'eI;eIN
aformosearem	,&fu*@-m,uzi;'a*eIN
aformoseavam	,&fu*@-m,uzi;'av&U~
aformoseiam	,&fu*@-muz'eI;&U~
aformoseariam	,&fu*@-m,uzi;&*'i;&U~
aformosearam	,&fu*@-m,uzi;'a*&U~
aformosearei	,&fu*@-m,uzi;&*'eI
aformoseei	,&fu*@-m,uzi;'eI
aformoseai	,&fu*@-m,uzi;'aI
aformoseaste	,&fu*@-m,uzi;'as#ty
aformoseasse	,&fu*@-m,uzi;'asy
aformoseie	,&fu*@-muz'eI;y
aformoseava	,&fu*@-m,uzi;'av&
aformoseia	,&fu*@-muz'eI;&
aformosearia	,&fu*@-m,uzi;&*'i;&
aformoseada	,&fu*@-m,uzi;'ad&
aformoseara	,&fu*@-m,uzi;'a*&
aforquilhar	,&fu*@-kil^'ar-
aforquilhará	,&fu*@-k,il^&*'a
aforquilhá	,&fu*@-kil^'a
aforquilhou	,&fu*@-kil^'ow
aforquilharás	,&fu*@-k,il^&*'as#
aforquilhámos	,&fu*@-kil^'amUs#
aforquilhássemos	,&fu*@-kil^'asymUs#
aforquilharemos	,&fu*@-k,il^&*'emUs#
aforquilhemos	,&fu*@-kil^'emUs#
aforquilharíamos	,&fu*@-k,il^&*'i;&~mUs#
aforquilhávamos	,&fu*@-kil^'av&mUs#
aforquilháramos	,&fu*@-kil^'a*&mUs#
aforquilharmos	,&fu*@-kil^'a*@-mUs#
aforquilhamos	,&fu*@-kil^'&~mUs#
aforquilhados	,&fu*@-kil^'adUs#
aforquilharíeis	,&fu*@-k,il^&*'i;eIs#
aforquilháveis	,&fu*@-kil^'aveIs#
aforquilhásseis	,&fu*@-kil^'aseIs#
aforquilháreis	,&fu*@-kil^'a*eIs#
aforquilhareis	,&fu*@-k,il^&*'eIs#
aforquilheis	,&fu*@-kil^'eIs#
aforquilhais	,&fu*@-kil^'aIs#
aforquilhastes	,&fu*@-kil^'as#tys#
aforquilhasses	,&fu*@-kil^'asys#
aforquilhardes	,&fu*@-kil^'a*@-dys#
aforquilhares	,&fu*@-kil^'a*ys#
aforquilhes	,&fu*@-k'il^ys#
aforquilhavas	,&fu*@-kil^'av&s#
aforquilharias	,&fu*@-k,il^&*'i;&s#
aforquilhadas	,&fu*@-kil^'ad&s#
aforquilharas	,&fu*@-kil^'a*&s#
aforquilhas	,&fu*@-k'il^&s#
aforquilharão	,&fu*@-k,il^&*'&U~
aforquilhando	,&fu*@-kil^'&~NdU
aforquilhado	,&fu*@-kil^'adU
aforquilho	,&fu*@-k'il^U
aforquilhassem	,&fu*@-kil^'aseIN
aforquilharem	,&fu*@-kil^'a*eIN
aforquilhem	,&fu*@-k'il^eIN
aforquilhavam	,&fu*@-kil^'av&U~
aforquilhariam	,&fu*@-k,il^&*'i;&U~
aforquilharam	,&fu*@-kil^'a*&U~
aforquilham	,&fu*@-k'il^&U~
aforquilharei	,&fu*@-k,il^&*'eI
aforquilhei	,&fu*@-kil^'eI
aforquilhai	,&fu*@-kil^'aI
aforquilhaste	,&fu*@-kil^'as#ty
aforquilhasse	,&fu*@-kil^'asy
aforquilhe	,&fu*@-k'il^y
aforquilhava	,&fu*@-kil^'av&
aforquilharia	,&fu*@-k,il^&*'i;&
aforquilhada	,&fu*@-kil^'ad&
aforquilhara	,&fu*@-kil^'a*&
aforquilha	,&fu*@-k'il^&
aforrar	,&fux'ar-
aforrará	,&fux&*'a
aforrá	,&fux'a
aforrou	,&fux'ow
aforrarás	,&fux&*'as#
aforrámos	,&fux'amUs#
aforrássemos	,&fux'asymUs#
aforraremos	,&fux&*'emUs#
aforremos	,&fux'emUs#
aforraríamos	,&fux&*'i;&~mUs#
aforrávamos	,&fux'av&mUs#
aforráramos	,&fux'a*&mUs#
aforrarmos	,&fux'a*@-mUs#
aforramos	,&fux'&~mUs#
aforrados	,&fux'adUs#
aforraríeis	,&fux&*'i;eIs#
aforráveis	,&fux'aveIs#
aforrásseis	,&fux'aseIs#
aforráreis	,&fux'a*eIs#
aforrareis	,&fux&*'eIs#
aforreis	,&fux'eIs#
aforrais	,&fux'aIs#
aforrastes	,&fux'as#tys#
aforrasses	,&fux'asys#
aforrardes	,&fux'a*@-dys#
aforrares	,&fux'a*ys#
aforres	,&f'oxys#
aforravas	,&fux'av&s#
aforrarias	,&fux&*'i;&s#
aforradas	,&fux'ad&s#
aforraras	,&fux'a*&s#
aforras	,&f'ox&s#
aforrarão	,&fux&*'&U~
aforrando	,&fux'&~NdU
aforrado	,&fux'adU
aforro	,&f'oxU
aforrassem	,&fux'aseIN
aforrarem	,&fux'a*eIN
aforrem	,&f'OxeIN
aforravam	,&fux'av&U~
aforrariam	,&fux&*'i;&U~
aforraram	,&fux'a*&U~
aforram	,&f'Ox&U~
aforrarei	,&fux&*'eI
aforrei	,&fux'eI
aforrai	,&fux'aI
aforraste	,&fux'as#ty
aforrasse	,&fux'asy
aforre	,&f'Oxy
aforrava	,&fux'av&
aforraria	,&fux&*'i;&
aforrada	,&fux'ad&
aforrara	,&fux'a*&
aforra	,&f'Ox&
aforro	,&f'oxU
aforros	,&f'oxUs#
afortalezar	,&fu*@-t,&lyz'ar-
afortalezará	,&fu*@-t,&lyz&*'a
afortalezá	,&fu*@-t,&lyz'a
afortalezou	,&fu*@-t,&lyz'ow
afortalezarás	,&fu*@-t,&lyz&*'as#
afortalezámos	,&fu*@-t,&lyz'amUs#
afortalezássemos	,&fu*@-t,&lyz'asymUs#
afortalezaremos	,&fu*@-t,&lyz&*'emUs#
afortalezemos	,&fu*@-t,&lyz'emUs#
afortalezaríamos	,&fu*@-t,&lyz&*'i;&~mUs#
afortalezávamos	,&fu*@-t,&lyz'av&mUs#
afortalezáramos	,&fu*@-t,&lyz'a*&mUs#
afortalezarmos	,&fu*@-t,&lyz'a*@-mUs#
afortalezamos	,&fu*@-t,&lyz'&~mUs#
afortalezados	,&fu*@-t,&lyz'adUs#
afortalezaríeis	,&fu*@-t,&lyz&*'i;eIs#
afortalezáveis	,&fu*@-t,&lyz'aveIs#
afortalezásseis	,&fu*@-t,&lyz'aseIs#
afortalezáreis	,&fu*@-t,&lyz'a*eIs#
afortalezareis	,&fu*@-t,&lyz&*'eIs#
afortalezeis	,&fu*@-t,&lyz'eIs#
afortalezais	,&fu*@-t,&lyz'aIs#
afortalezastes	,&fu*@-t,&lyz'as#tys#
afortalezasses	,&fu*@-t,&lyz'asys#
afortalezardes	,&fu*@-t,&lyz'a*@-dys#
afortalezares	,&fu*@-t,&lyz'a*ys#
afortalezes	,&fu*@-t&l'ezys#
afortalezavas	,&fu*@-t,&lyz'av&s#
afortalezarias	,&fu*@-t,&lyz&*'i;&s#
afortalezadas	,&fu*@-t,&lyz'ad&s#
afortalezaras	,&fu*@-t,&lyz'a*&s#
afortalezas	,&fu*@-t&l'ez&s#
afortalezarão	,&fu*@-t,&lyz&*'&U~
afortalezando	,&fu*@-t,&lyz'&~NdU
afortalezado	,&fu*@-t,&lyz'adU
afortalezo	,&fu*@-t&l'ezU
afortalezassem	,&fu*@-t,&lyz'aseIN
afortalezarem	,&fu*@-t,&lyz'a*eIN
afortalezem	,&fu*@-t&l'ezeIN
afortalezavam	,&fu*@-t,&lyz'av&U~
afortalezariam	,&fu*@-t,&lyz&*'i;&U~
afortalezaram	,&fu*@-t,&lyz'a*&U~
afortalezam	,&fu*@-t&l'ez&U~
afortalezarei	,&fu*@-t,&lyz&*'eI
afortalezei	,&fu*@-t,&lyz'eI
afortalezai	,&fu*@-t,&lyz'aI
afortalezaste	,&fu*@-t,&lyz'as#ty
afortalezasse	,&fu*@-t,&lyz'asy
afortaleze	,&fu*@-t&l'ezy
afortalezava	,&fu*@-t,&lyz'av&
afortalezaria	,&fu*@-t,&lyz&*'i;&
afortalezada	,&fu*@-t,&lyz'ad&
afortalezara	,&fu*@-t,&lyz'a*&
afortaleza	,&fu*@-t&l'ez&
afortunar	,&fu*@-tun'ar-
afortunará	,&fu*@-t,un&*'a
afortuná	,&fu*@-tun'a
afortunou	,&fu*@-tun'ow
afortunarás	,&fu*@-t,un&*'as#
afortunámos	,&fu*@-tun'amUs#
afortunássemos	,&fu*@-tun'asymUs#
afortunaremos	,&fu*@-t,un&*'emUs#
afortunemos	,&fu*@-tun'emUs#
afortunaríamos	,&fu*@-t,un&*'i;&~mUs#
afortunávamos	,&fu*@-tun'av&mUs#
afortunáramos	,&fu*@-tun'a*&mUs#
afortunarmos	,&fu*@-tun'a*@-mUs#
afortunamos	,&fu*@-tun'&~mUs#
afortunados	,&fu*@-tun'adUs#
afortunaríeis	,&fu*@-t,un&*'i;eIs#
afortunáveis	,&fu*@-tun'aveIs#
afortunásseis	,&fu*@-tun'aseIs#
afortunáreis	,&fu*@-tun'a*eIs#
afortunareis	,&fu*@-t,un&*'eIs#
afortuneis	,&fu*@-tun'eIs#
afortunais	,&fu*@-tun'aIs#
afortunastes	,&fu*@-tun'as#tys#
afortunasses	,&fu*@-tun'asys#
afortunardes	,&fu*@-tun'a*@-dys#
afortunares	,&fu*@-tun'a*ys#
afortunes	,&fu*@-t'unys#
afortunavas	,&fu*@-tun'av&s#
afortunarias	,&fu*@-t,un&*'i;&s#
afortunadas	,&fu*@-tun'ad&s#
afortunaras	,&fu*@-tun'a*&s#
afortunas	,&fu*@-t'un&s#
afortunarão	,&fu*@-t,un&*'&U~
afortunando	,&fu*@-tun'&~NdU
afortunado	,&fu*@-tun'adU
afortuno	,&fu*@-t'unU
afortunassem	,&fu*@-tun'aseIN
afortunarem	,&fu*@-tun'a*eIN
afortunem	,&fu*@-t'uneIN
afortunavam	,&fu*@-tun'av&U~
afortunariam	,&fu*@-t,un&*'i;&U~
afortunaram	,&fu*@-tun'a*&U~
afortunam	,&fu*@-t'un&U~
afortunarei	,&fu*@-t,un&*'eI
afortunei	,&fu*@-tun'eI
afortunai	,&fu*@-tun'aI
afortunaste	,&fu*@-tun'as#ty
afortunadamente	,&fu*@-t,un&d&m'eINty
afortunasse	,&fu*@-tun'asy
afortune	,&fu*@-t'uny
afortunava	,&fu*@-tun'av&
afortunaria	,&fu*@-t,un&*'i;&
afortunada	,&fu*@-tun'ad&
afortunara	,&fu*@-tun'a*&
afortuna	,&fu*@-t'un&
AFP	'afp
afracar	,&fR&k'ar-
afracará	,&fR&k&*'a
afracá	,&fR&k'a
afracou	,&fR&k'ow
afracarás	,&fR&k&*'as#
afracamentos	,&fR&k&m'eINtUs#
afracámos	,&fR&k'amUs#
afraquemos	,&fR&k'emUs#
afracássemos	,&fR&k'asymUs#
afracaremos	,&fR&k&*'emUs#
afracaríamos	,&fR&k&*'i;&~mUs#
afracávamos	,&fR&k'av&mUs#
afracáramos	,&fR&k'a*&mUs#
afracarmos	,&fR&k'a*@-mUs#
afracamos	,&fR&k'&~mUs#
afracados	,&fR&k'adUs#
afracaríeis	,&fR&k&*'i;eIs#
afracáveis	,&fR&k'aveIs#
afraqueis	,&fR&k'eIs#
afracásseis	,&fR&k'aseIs#
afracáreis	,&fR&k'a*eIs#
afracareis	,&fR&k&*'eIs#
afracais	,&fR&k'aIs#
afraques	,&fR'akys#
afracastes	,&fR&k'as#tys#
afracasses	,&fR&k'asys#
afracardes	,&fR&k'a*@-dys#
afracares	,&fR&k'a*ys#
afracavas	,&fR&k'av&s#
afracarias	,&fR&k&*'i;&s#
afracadas	,&fR&k'ad&s#
afracaras	,&fR&k'a*&s#
afracas	,&fR'ak&s#
afracarão	,&fR&k&*'&U~
afracamento	,&fR&k&m'eINtU
afracando	,&fR&k'&~NdU
afracado	,&fR&k'adU
afraco	,&fR'akU
afraquem	,&fR'akeIN
afracassem	,&fR&k'aseIN
afracarem	,&fR&k'a*eIN
afracavam	,&fR&k'av&U~
afracariam	,&fR&k&*'i;&U~
afracaram	,&fR&k'a*&U~
afracam	,&fR'ak&U~
afraquei	,&fR&k'eI
afracarei	,&fR&k&*'eI
afracai	,&fR&k'aI
afraque	,&fR'aky
afracaste	,&fR&k'as#ty
afracasse	,&fR&k'asy
afracava	,&fR&k'av&
afracaria	,&fR&k&*'i;&
afracada	,&fR&k'ad&
afracara	,&fR&k'a*&
afraca	,&fR'ak&
afrancesar	,&fR&~Nsyz'ar-
afrancesará	,&fR&~Ns,ez&*'a
afrancesá	,&fR&~Nsyz'a
afrancesou	,&fR&~Nsyz'ow
afrancesarás	,&fR&~Ns,ez&*'as#
afrancesámos	,&fR&~Nsyz'amUs#
afrancesássemos	,&fR&~Nsyz'asymUs#
afrancesaremos	,&fR&~Ns,ez&*'emUs#
afrancesemos	,&fR&~Nsyz'emUs#
afrancesaríamos	,&fR&~Ns,ez&*'i;&~mUs#
afrancesávamos	,&fR&~Nsyz'av&mUs#
afrancesáramos	,&fR&~Nsyz'a*&mUs#
afrancesarmos	,&fR&~Nsyz'a*@-mUs#
afrancesamos	,&fR&~Nsyz'&~mUs#
afrancesados	,&fR&~Nsyz'adUs#
afrancesaríeis	,&fR&~Ns,ez&*'i;eIs#
afrancesáveis	,&fR&~Nsyz'aveIs#
afrancesásseis	,&fR&~Nsyz'aseIs#
afrancesáreis	,&fR&~Nsyz'a*eIs#
afrancesareis	,&fR&~Ns,ez&*'eIs#
afranceseis	,&fR&~Nsyz'eIs#
afrancesais	,&fR&~Nsyz'aIs#
afrancesastes	,&fR&~Nsyz'as#tys#
afrancesasses	,&fR&~Nsyz'asys#
afrancesardes	,&fR&~Nsyz'a*@-dys#
afrancesares	,&fR&~Nsyz'a*ys#
afranceses	,&fR&~Ns'ezys
afrancesavas	,&fR&~Nsyz'av&s#
afrancesarias	,&fR&~Ns,ez&*'i;&s#
